Country,Disaster,long,lat
Saudi Arabia,29,-11.779889,8.460555
Senegal,53,103.819836,1.352083
Serbia,26,-63.060001,18.075277
Serbia Montenegro,16,19.699024,48.669026
Seychelles,7,14.995463,46.151241
Sierra Leone,32,160.156194,-9.64571
Singapore,4,46.199616,5.152149
Sint Maarten,1,22.937506,-30.559482
Slovakia,22,30.217636,12.862807
Slovenia,10,105.318756,61.52401
Solomon Islands,39,-3.74922,40.463667
Somalia,99,80.771797,7.873054
South Africa,109,30.217636,12.862807
S. Sudan,23,-56.027783,3.919305
Soviet Union,60,31.465866,-26.522503
Spain,101,18.643501,60.128161
Sri Lanka,115,8.227512,46.818188
Sudan,101,38.996815,34.802075
Suriname,3,120.960515,23.69781
Swaziland,17,71.276093,38.861034
Sweden,15,34.888822,-6.369028
Switzerland,59,100.992541,15.870032
Syria,15,125.727539,-8.874217
Taiwan,130,0.824782,8.619543
Tajikistan,73,-175.198242,-21.178986
Tanzania,112,-61.222503,10.691803
Thailand,153,9.537499,33.886917
Timor-Leste,12,35.243322,38.963745
Togo,29,59.556278,38.969719
Tokelau,6,-71.797928,21.694025
Tonga,24,177.64933,-7.109535
Trinidad and Tobago,14,32.290275,1.373333
Tunisia,24,31.16558,48.379433
Turkey,203,-3.435973,55.378051
Turkmenistan,2,-95.712891,37.09024
Turks and Caicos Islands,7,-55.765835,-32.522779
Tuvalu,8,64.585262,41.377491
Uganda,101,166.959158,-15.376706
Ukraine,38,-66.58973,6.42375
United Arab Emirates,1,108.277199,14.058324
United Kingdom,98,-64.618103,18.436539
United States of America,1059,-64.618103,18.436539
Uruguay,34,-177.156097,-13.768752
Uzbekistan,8,48.516388,15.552727
Vanuatu,49,48.516388,15.552727
Venezuela,58,48.516388,15.552727
Viet Nam,243,21.005859,44.016521
Virgin Island,4,27.849332,-13.133897
Virgin Island,8,29.154857,-19.015438
Wallis and Futuna,5,,
Yemen,53,,
Yemen Arab Rep,9,,
Yemen P Dem Rep,7,,
Yugoslavia,22,,
Zambia,49,,
Zimbabwe,51,,
